id,total,total_possession,total_distribution,incidents_this_week,possession_this_week,distribution_this_week,incidents_last_week,possession_last_week,distribution_last_week,incidents_this_month,possession_this_month,distribution_this_month,incidents_last_month,incidents_last_month,distribution_last_month,cocaine_possession,cocaine_distribution,heroin_possession,heroin_distribution,class_c_possession,class_c_distribution,class_d_possession,class_d_distribution,class_e_possession,count
626,387,199,124,0,0,0,2,1,1,2,1,1,18,9,5,126,31,32,9,4,1,6,3,6,0
562,305,140,134,0,0,0,5,3,2,10,5,4,14,8,6,26,32,26,16,26,19,4,1,26,17
680,257,12,129,0,0,0,0,0,0,1,0,1,4,3,1,4,48,6,44,0,1,0,1,2,1
616,221,17,93,0,0,0,0,0,0,0,0,0,0,0,0,2,25,5,11,0,0,8,20,0,0
627,204,82,93,0,0,0,0,0,0,1,1,0,0,0,0,27,12,8,8,1,0,37,25,2,2
537,203,115,67,0,0,0,2,0,2,8,3,5,6,4,2,26,13,36,15,16,1,3,3,29,1
438,203,14,173,0,0,0,0,0,0,1,0,0,1,0,1,7,75,5,53,0,0,2,10,0,1
470,195,35,117,0,0,0,1,0,0,4,0,0,9,1,4,13,45,16,15,0,0,5,4,1,0
254,168,11,125,0,0,0,0,0,0,0,0,0,3,1,1,4,9,3,7,0,0,0,1,1,0
377,147,3,123,0,0,0,0,0,0,0,0,0,1,0,1,2,11,1,6,0,0,0,0,0,0
780,133,52,39,0,0,0,2,1,1,4,1,1,0,0,0,15,2,4,2,1,0,18,0,10,0
641,108,8,64,0,0,0,0,0,0,0,0,0,1,0,1,5,39,2,20,0,0,1,2,0,0
515,101,48,44,0,0,0,1,1,0,2,2,0,7,5,1,23,13,8,3,1,1,9,6,3,2
596,100,39,44,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,2,0,0,21,8,0,0
655,93,60,24,0,0,0,0,0,0,6,5,0,3,1,1,39,10,7,2,2,1,2,0,3,0
117,93,1,77,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,26,0,1,0,2,0,0
536,84,41,34,0,0,0,0,0,0,3,1,2,0,0,0,9,4,11,4,8,4,0,1,12,3
564,79,14,61,0,0,0,2,0,2,7,0,6,0,0,0,7,11,2,5,0,0,2,0,2,0
689,74,4,64,0,0,0,2,0,2,6,0,6,4,0,4,3,5,1,29,0,0,0,0,0,0
404,73,43,21,0,0,0,1,0,1,1,0,1,3,0,1,14,5,14,2,3,0,8,5,3,0
